trade_direction,entry_atr_mult,sl_atr_mult,tp_atr_mult,min_sl,min_hold,max_hold,cooldown,long_threshold,short_threshold,signal_quantile,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short
long_only,0.3,2.5,3.0,0.015,8,48,3,0.85,0.15,0.15,1.179147411936585,1.1223083537903527,0.3821425144404338,-0.21502446502953973,0.5576923076923077,104,104,0
long_only,0.3,2.0,3.0,0.01,8,24,3,0.85,0.15,0.15,1.1787626217422886,1.115424287199318,0.3119530953891443,-0.15835078297096425,0.52,150,150,0
long_only,0.3,1.5,2.0,0.015,8,24,2,0.85,0.15,0.15,1.1673422701912533,1.1076947447944836,0.31089650833049354,-0.17404153103421052,0.5225806451612903,155,155,0
long_only,1.0,2.5,2.0,0.015,8,48,3,0.8,0.2,0.2,1.1629921914831725,1.0790169391889537,0.36402870227055906,-0.160998498643089,0.5859375,128,128,0
long_only,0.3,2.5,3.0,0.01,8,24,3,0.85,0.15,0.15,1.1589710541726594,1.0935231251502506,0.31165794043713557,-0.16978911144901668,0.5510204081632653,147,147,0
long_only,0.3,2.0,3.0,0.015,4,48,2,0.8,0.2,0.2,1.1581017675885692,1.07288543243405,0.38557427874920025,-0.2034970132131579,0.5396825396825397,126,126,0
long_only,1.0,1.5,2.5,0.01,8,48,3,0.8,0.2,0.2,1.139126290809381,1.0760169942515891,0.31632760393769677,-0.17903725076703622,0.4900662251655629,151,151,0
long_only,0.3,2.0,3.0,0.01,4,24,3,0.85,0.15,0.15,1.1382917482519697,1.0795592893762729,0.28610419714240587,-0.16757871198606097,0.5131578947368421,152,152,0
long_only,0.6,2.0,3.0,0.015,4,48,2,0.8,0.2,0.2,1.1311917407164556,1.0485874754993503,0.3748700354718226,-0.20723089451757434,0.5396825396825397,126,126,0
long_only,0.6,2.5,3.0,0.015,8,24,3,0.85,0.15,0.15,1.1287543252296617,1.0609128870233575,0.3222339909479941,-0.2089437885573549,0.5467625899280576,139,139,0
long_only,0.3,2.0,3.0,0.01,4,24,3,0.8,0.2,0.2,1.1260336354863973,1.0839609399884342,0.30713518035139153,-0.16506691626226483,0.49162011173184356,179,179,0
long_only,0.6,1.5,2.5,0.01,8,24,3,0.8,0.2,0.2,1.1248759630040854,1.0877621222725824,0.30145739150011175,-0.15224423667174228,0.4810810810810811,185,185,0
long_only,1.0,1.5,2.5,0.01,8,24,3,0.8,0.2,0.2,1.1243905721169998,1.0872242144576685,0.3018926711829757,-0.15224423667174233,0.4810810810810811,185,185,0
long_only,0.3,1.5,3.0,0.01,8,24,2,0.8,0.2,0.2,1.1233948851866233,1.086132994836203,0.3217446665715711,-0.14757400170982918,0.4627659574468085,188,188,0
long_only,0.6,1.5,3.0,0.01,8,48,3,0.8,0.2,0.2,1.1171763336727545,1.050047318759743,0.3204882915807026,-0.17235792237029876,0.4726027397260274,146,146,0
long_only,0.6,1.5,2.5,0.01,8,24,3,0.85,0.15,0.15,1.107438569957545,1.0554320439496891,0.27871922288416706,-0.14475213142859011,0.49375,160,160,0
long_only,0.3,2.5,3.0,0.01,8,24,2,0.85,0.15,0.15,1.104358657806669,1.0451070799288742,0.3014150227578014,-0.1724425842936921,0.551948051948052,154,154,0
